,weight 1,weight 2,bias1,bias2,learning rate,accuracy
2047,"[[6.12216553 2.24761602]
 [1.53582332 3.59097333]
 [4.63153055 7.02721859]]",[[ 9.16294801  1.38019661 -7.7827567 ]],"[[-6.40341859]
 [-0.41834787]
 [-0.68674703]]",[[4.08821912]],0.15837678509118214,97
4032,"[[ 8.61807121 -7.06583127]
 [-5.0528687   0.04933167]
 [ 5.07132176  2.06651857]]",[[-6.21247732  5.75337039  4.42429374]],"[[ 3.93075063]
 [ 6.76150473]
 [-2.85898977]]",[[-3.74984157]],0.6125720839984716,97
6260,"[[-9.95414246 -8.28412845]
 [-2.87610782 -1.73115409]
 [ 8.26993399 -8.96899352]]",[[-2.17564539 -2.25727964  6.01417984]],"[[ 1.79061217]
 [ 7.52350329]
 [-2.56448427]]",[[8.24514841]],3.382492357608159,97
5639,"[[ 6.66537073  4.1663489 ]
 [ 0.94681739 -4.42814986]
 [-5.70558963 -1.16843555]]",[[-2.22271538  6.08772845  6.11286579]],"[[5.10820849]
 [0.83045077]
 [4.70160022]]",[[-3.25278885]],1.4002406920842214,96
7895,"[[-1.78419247 -7.15917394]
 [-1.4235388   4.939499  ]
 [ 7.80523134 -9.89127072]]",[[ 7.7765962  -5.5597921   6.88974619]],"[[6.48464804]
 [6.28242484]
 [7.59320799]]",[[-2.55169393]],2.2438005771548273,96
1769,"[[-1.09550092 -3.54838079]
 [ 1.27737941  7.88713437]
 [-8.30179183 -9.96163298]]",[[ 9.30954395  4.45746359 -0.0418935 ]],"[[ 3.36337479]
 [-1.99732944]
 [ 9.59070806]]",[[-8.18490117]],6.38486666306002,95
8085,"[[ 8.47273483 -6.61381527]
 [-8.0076442  -0.35039051]
 [-8.62338883 -6.81891379]]",[[6.58522182 1.42012188 3.05544776]],"[[ 7.26462769]
 [ 6.99342494]
 [-8.1809235 ]]",[[-5.49643214]],1.2701818252792907,95
3655,"[[ 5.43942482  5.93975933]
 [-4.05297376 -7.84133989]
 [ 8.11925694 -2.53573071]]",[[7.80907455 8.83143317 8.8871806 ]],"[[-9.77249549]
 [ 1.07708979]
 [ 0.98751202]]",[[-6.41522329]],2.400543974690547,95
8732,"[[-4.46446146  0.01343477]
 [ 6.08954639  0.21989122]
 [ 0.16692951  3.90686808]]",[[-6.43741713  4.55624624 -8.62222783]],"[[ 3.30066474]
 [-7.15305206]
 [-8.32856925]]",[[8.73825867]],5.108174619794656,95
4541,"[[-3.30588798  0.18722644]
 [-7.45150913  7.18329005]
 [ 4.97022655 -6.4538335 ]]",[[ 2.96453174 -8.92493943 -4.67253562]],"[[ 1.87830145]
 [ 7.01821187]
 [-9.48462283]]",[[-0.42210831]],2.6411810663883486,95
9481,"[[-5.75328208 -1.82041643]
 [ 6.9450188  -9.40614002]
 [-8.09146335  7.74692727]]",[[2.58254442 9.4954734  8.8251896 ]],"[[-6.04823261]
 [-2.24115887]
 [ 8.39910536]]",[[1.58510201]],1.0566549187280616,95
5492,"[[-2.79973522  9.22583747]
 [ 8.58437725 -4.6848618 ]
 [ 2.18149158 -5.17958328]]",[[0.50350506 9.29577131 3.14625257]],"[[ 2.51024104]
 [-8.95764019]
 [-8.65441306]]",[[-9.2136392]],0.5799467192577412,95
8427,"[[-4.68243107  6.18762305]
 [-4.60496097  0.80841493]
 [ 3.50116098  9.01535062]]",[[ 8.19916498 -9.33582132 -5.33619177]],"[[ 6.96762651]
 [ 2.11757558]
 [-6.51518893]]",[[-8.70565284]],6.762155804597423,94
6562,"[[-7.79286697  8.47383559]
 [-3.96806662 -6.7018922 ]
 [-0.8648597  -5.8610189 ]]",[[-4.65328782  4.88294267  4.64252324]],"[[ 1.75723398]
 [ 0.66891619]
 [-9.91936535]]",[[5.30930077]],7.501703974510053,94
6564,"[[ 9.95767664  0.79214957]
 [-8.87969292 -2.71977259]
 [ 1.64192231 -6.72864992]]",[[-2.37393088  6.31690807 -0.72316526]],"[[ 1.80264991]
 [-8.5762499 ]
 [ 2.80549596]]",[[4.60545016]],0.1646272664239612,94
6314,"[[ 2.39591806  9.63150436]
 [-2.66056869 -9.95301867]
 [-4.56505868 -3.77320543]]",[[-6.08390098 -4.07485794  7.22354575]],"[[-3.81206021]
 [-7.83565492]
 [-0.48482005]]",[[7.52667173]],1.125248913352912,94
5934,"[[ 6.41339796 -9.34956899]
 [-5.16362748  8.45429293]
 [ 3.43282197 -7.8235431 ]]",[[9.445709   3.22405478 2.65309131]],"[[-0.44961577]
 [ 7.60580687]
 [ 1.07130825]]",[[-8.48240879]],2.8584964984633765,94
9525,"[[-4.94569201  0.06170733]
 [-6.31554326  0.47742497]
 [ 7.80344861 -6.81252626]]",[[8.2406407  0.6183164  2.66477243]],"[[-5.03274863]
 [-8.7211281 ]
 [-4.70635607]]",[[-2.26958463]],4.826139187884694,94
2434,"[[-4.60452095 -7.33015166]
 [-6.30709604  2.02928891]
 [ 5.75437795  2.35295011]]",[[ 9.34713128 -9.27263118 -5.90241545]],"[[-6.01625364]
 [ 3.26249074]
 [-5.36371602]]",[[9.39111164]],1.5397185925658952,94
3630,"[[ 1.01295317  7.38669964]
 [-4.60738541  5.18844298]
 [ 8.70144019 -5.23712064]]",[[ 3.13580784 -2.368719    9.64161785]],"[[-4.59326139]
 [ 8.73800682]
 [-4.54549711]]",[[-8.85275118]],2.6680242559825986,94
2535,"[[ 8.69324411  3.95347329]
 [-0.29815626 -5.14205306]
 [-0.94006573  0.70493222]]",[[ 6.58129958  4.2852961  -1.52908501]],"[[ 2.4352617 ]
 [ 7.72685463]
 [-1.93021756]]",[[-5.48016922]],7.060640294257904,94
4504,"[[ 3.67395056  9.39674223]
 [ 1.99963625  1.39314841]
 [-8.55776107  0.21862544]]",[[-4.17483544  2.94254329 -6.18776567]],"[[-6.24826524]
 [-0.40611628]
 [-4.33972854]]",[[7.37603311]],6.762843969452133,94
6261,"[[-2.19309428 -4.7475939 ]
 [-3.74529298  3.66485241]
 [-8.91123045 -8.89312379]]",[[7.68122805 5.49105624 6.18793923]],"[[ 3.13484604]
 [-8.53525395]
 [ 0.08211518]]",[[-8.79498656]],3.5080692097237423,94
3248,"[[-3.26680888  3.32785014]
 [ 3.65316658 -8.21963155]
 [-5.07437009 -6.94181907]]",[[9.24072029 4.17891292 8.41394639]],"[[-5.96792146]
 [ 2.84726737]
 [-0.95934647]]",[[-1.6935923]],2.862859810682883,94
503,"[[-9.09539231  9.10568905]
 [ 3.26068163 -5.29593981]
 [-0.14127206  1.34435474]]",[[-6.74816468  9.3042481   1.92254866]],"[[-8.48036224]
 [ 0.1810399 ]
 [ 1.8251003 ]]",[[-0.82434519]],0.3304244861578154,94
8224,"[[ 4.0295535  -1.49166593]
 [-9.61601716  2.14561551]
 [-7.55077635 -8.37041247]]",[[-4.39942628 -3.97840902  4.59065089]],"[[ 0.80775227]
 [-5.76782962]
 [ 4.56224392]]",[[6.78534428]],3.947701020043924,94
8841,"[[ 8.20868447 -9.04353511]
 [ 1.41909098  5.73279844]
 [ 8.96089641 -3.42231232]]",[[ 3.73006744 -2.64736181  6.91968689]],"[[ 3.8161024 ]
 [-8.61493626]
 [ 2.08377054]]",[[-4.67967549]],1.6161614034585658,94
3247,"[[ 4.62790356 -1.46395752]
 [ 4.51502992 -1.78856083]
 [ 6.71507546 -5.38674171]]",[[0.70493501 8.83684343 3.88349229]],"[[ 9.40160954]
 [ 3.09190047]
 [-3.75771551]]",[[-8.99418383]],4.931713370886964,94
7355,"[[ 3.79315176 -1.15317014]
 [-7.38129687  8.45286812]
 [-1.87014201 -7.38626063]]",[[2.94754845 4.10668316 2.88372027]],"[[-0.49988092]
 [-3.90108052]
 [ 0.1121015 ]]",[[-8.62238401]],1.0109748445265598,94
8239,"[[ 5.66801054 -9.28476264]
 [-5.01334031  1.88496856]
 [ 0.40252279  8.06698413]]",[[ 2.99661174  2.30407529 -4.01055636]],"[[-1.96469179]
 [-8.59512281]
 [-4.53949787]]",[[4.04469186]],4.276305515879634,94
7452,"[[-3.58445985 -5.20348703]
 [-7.98931445  7.53478097]
 [ 3.37375552 -4.9028548 ]]",[[5.34901153 2.1692723  7.29149805]],"[[ 3.42805646]
 [-5.6635571 ]
 [ 3.25315834]]",[[-5.98283346]],1.7196294150216451,94
1472,"[[-6.82130152 -8.9511116 ]
 [-0.97361308 -6.58718874]
 [ 3.01185811 -8.42105237]]",[[6.45233945 1.05287032 8.0286542 ]],"[[-2.20494055]
 [ 4.99095815]
 [ 6.53927802]]",[[-7.37372899]],3.8021098897158314,94
737,"[[-7.09916967 -5.24322903]
 [ 3.63668808 -0.52697355]
 [ 3.75983684 -3.68909251]]",[[-5.70560425  8.03316998 -0.48728296]],"[[-0.33878653]
 [-0.82696737]
 [ 0.47952793]]",[[-3.54535329]],1.67991867416585,94
9623,"[[-1.41957412  8.34638878]
 [-2.47008111 -5.23688788]
 [ 5.15845457  0.49825057]]",[[-8.48775014  1.36603939  9.46892276]],"[[-5.43019914]
 [ 3.90675257]
 [-7.93163082]]",[[6.82178348]],8.049847945301424,94
5115,"[[ 1.45409945  3.76332511]
 [ 6.64425921 -7.50970448]
 [-4.45534281 -1.70675537]]",[[ 4.13979203 -0.66939466 -3.16744695]],"[[-2.8084336 ]
 [-9.50707528]
 [ 1.84747286]]",[[-4.33099975]],2.291576303635189,94
6705,"[[ 6.09870665  8.0779493 ]
 [-2.1828635  -8.00602228]
 [-0.33953216 -7.36966457]]",[[ 3.61849593  0.35792656 -2.04562399]],"[[-9.32268831]
 [-3.94063191]
 [-8.87062425]]",[[-3.84751515]],3.970674410278975,94
3023,"[[ 2.10343515 -8.98267948]
 [ 3.57814161 -1.98923186]
 [ 2.26516127 -9.96815123]]",[[-4.20198343  2.45793252  9.31484301]],"[[-8.72046006]
 [ 9.20712353]
 [-8.31797727]]",[[6.40201927]],8.82658358281131,94
8608,"[[-5.63054333 -3.26103204]
 [ 3.85386429  0.96165703]
 [-0.53849917 -6.3644354 ]]",[[ 6.8152467   5.25891121 -0.0635946 ]],"[[ 9.22393402]
 [ 3.2494786 ]
 [-7.88706448]]",[[-5.85294126]],6.588311860021666,94
3326,"[[-0.60446957 -2.19617107]
 [-7.1057822  -9.55088805]
 [ 5.65654873 -7.8326966 ]]",[[0.57260222 4.76801745 9.17777062]],"[[-4.04671139]
 [ 3.89491467]
 [ 0.65789432]]",[[-1.90169546]],1.8228772284795114,94
850,"[[-7.5544593   6.8442912 ]
 [-3.24855474  2.86834215]
 [-2.34728441  1.68282214]]",[[ 0.54367519  2.17118531 -5.61911143]],"[[ 7.47696602]
 [-4.89343239]
 [-0.12877121]]",[[6.23348236]],0.5161890709277517,93
3435,"[[-1.32440693  9.58130899]
 [-1.18392422 -0.2721345 ]
 [ 6.70143926 -7.47107559]]",[[ 1.31260492 -3.51631301  0.61183624]],"[[ 4.86621869]
 [-9.80335173]
 [-1.47567629]]",[[-6.95528239]],3.110762284099734,93
5654,"[[ 7.60618581 -0.55034287]
 [-6.94718995  1.57837724]
 [-7.49004588  0.02614614]]",[[3.08380975 2.18242543 1.0085756 ]],"[[ 5.20297709]
 [ 4.68955491]
 [-8.26035148]]",[[-9.75597033]],5.093141750399372,93
6583,"[[ 3.87655789 -0.29803869]
 [ 6.1800282   3.30216966]
 [ 6.35722001  4.35492628]]",[[ 6.27090869 -5.1133126  -5.97693639]],"[[ 3.45612714]
 [ 0.4364953 ]
 [-9.67790739]]",[[2.34653879]],0.336642395214346,93
7466,"[[-7.70707558 -7.25786512]
 [ 8.69109153  8.23640963]
 [-7.22833928  8.56227311]]",[[ 3.00175611 -5.02832771  6.1563829 ]],"[[-5.06759809]
 [-8.70413705]
 [-9.52028878]]",[[-8.44312818]],2.8107724489239017,93
7009,"[[ 3.01277433  7.92654397]
 [ 4.76429253  3.52857848]
 [ 8.88537985 -5.51967198]]",[[7.54862454 2.96416553 7.23361339]],"[[-6.20130559]
 [-0.76580949]
 [-6.31005336]]",[[-3.57064726]],4.4610246400268245,93
6358,"[[ 4.95774215  0.60457782]
 [ 4.40157041 -9.00749956]
 [ 6.77519039  3.68721157]]",[[ 9.48282714  4.88628596 -4.97654438]],"[[ 1.28948553]
 [-9.22829792]
 [-2.55636035]]",[[1.08379315]],2.208954808855559,93
2972,"[[ 0.60652326  9.49331774]
 [-0.71519473  1.78133958]
 [ 3.75412346 -7.30963521]]",[[-7.02317584 -6.95405705  3.69117018]],"[[-0.55166128]
 [-7.61946312]
 [-4.4977916 ]]",[[-7.15488889]],6.998958404493162,93
5493,"[[ 8.0938123  -4.70998349]
 [ 4.70376962  5.79094197]
 [-1.80251662 -4.50531948]]",[[ 2.75518036 -1.50769011 -0.56070022]],"[[ 1.59248878]
 [-6.9744351 ]
 [ 4.02900476]]",[[1.32646832]],3.2131052480135933,93
496,"[[ 0.73623014  2.5022652 ]
 [ 9.59263892  7.99815304]
 [ 8.49155683 -0.2256173 ]]",[[-8.25777285 -7.41729921  7.80522058]],"[[-7.36935327]
 [ 8.82641062]
 [ 3.81756126]]",[[-4.38168066]],4.949059801431749,93
8961,"[[ 0.12573586 -7.16248221]
 [ 3.69737484 -1.94686211]
 [-9.46490352  8.57245771]]",[[3.10045386 4.00348957 5.56076265]],"[[-2.90875714]
 [-1.85260432]
 [-1.50593896]]",[[0.33353291]],3.0318432058665232,93
215,"[[-7.57997932  8.47520485]
 [ 9.68179143 -4.04220317]
 [ 8.0500885   8.35451637]]",[[ 6.07543236  9.31745541 -3.28358732]],"[[8.30287104]
 [4.15200736]
 [8.65591358]]",[[-5.2645681]],6.888862310402983,93
2265,"[[-0.40275304 -1.68009057]
 [ 1.16142104 -3.02749392]
 [ 8.03531348  2.60871461]]",[[ 8.93821433  0.38893997 -7.54247423]],"[[ 1.05726427]
 [-2.00755826]
 [ 1.55274262]]",[[9.76364087]],1.2473323914610313,93
8839,"[[-7.88052081  7.62711817]
 [-7.08747639  0.6689917 ]
 [-8.08084293 -6.99264996]]",[[-9.93464758  8.83193484  3.15263135]],"[[-4.25628109]
 [-6.35260687]
 [-0.46549882]]",[[-0.39255008]],0.044473458364281404,93
5512,"[[-6.71377127 -3.19301788]
 [-1.75858704  7.74311471]
 [ 5.96064113 -8.25702748]]",[[-2.22409619 -1.54136906  4.67049829]],"[[-8.19469701]
 [ 3.28778557]
 [ 4.22813681]]",[[-2.52709967]],0.558235769134453,93
8076,"[[ 3.13909919  1.12279739]
 [-5.68856399  0.10739328]
 [ 2.92998562  0.36349474]]",[[ 2.7390397   8.14609539 -7.66795808]],"[[-7.93433727]
 [ 0.02113909]
 [ 2.06932018]]",[[-8.70330603]],3.8260591065945357,93
8842,"[[ 4.38073514 -3.62833846]
 [-1.79795257 -7.25542855]
 [-7.73239392  8.69435451]]",[[ 2.71646149  7.33238913 -0.84343448]],"[[ 6.21770678]
 [-2.15223384]
 [-8.53349063]]",[[-6.80663098]],0.682802265370166,93
5618,"[[-7.61634004 -1.01785296]
 [-3.93073845 -9.33711551]
 [ 2.66279562  6.41895007]]",[[ 5.16849873  4.7407747  -4.93570443]],"[[ 4.32109879]
 [-2.40503982]
 [ 1.514229  ]]",[[-2.8593346]],4.424208557012758,93
7725,"[[-3.79010359  5.67238135]
 [-6.55322922 -7.39675802]
 [-0.12443169 -5.52420511]]",[[0.17751844 3.64712431 1.18359405]],"[[5.49079106]
 [5.26899108]
 [3.76314073]]",[[-0.76691587]],2.9872805274256056,93
2931,"[[-5.73682654  0.52163382]
 [-1.64553132 -7.89338737]
 [ 6.35394123  6.91210446]]",[[ 3.21025105  7.43246196 -2.91268832]],"[[-5.12607484]
 [ 5.10012628]
 [-6.09346262]]",[[-4.09388718]],5.375850424173035,93
4325,"[[-5.38877147  4.13187633]
 [ 5.31123506 -4.30969853]
 [ 0.81437925  5.17030741]]",[[-5.3226943  -3.85025462 -9.51837254]],"[[-1.94519274]
 [-8.51808614]
 [-4.02898048]]",[[4.03632148]],1.2009912107612708,93
5701,"[[-4.66944659  0.48195088]
 [-8.56308216  5.4362994 ]
 [ 1.60040598  3.14294827]]",[[ 6.8552121  -2.18217935 -5.02643008]],"[[ 2.35232099]
 [-9.73946532]
 [ 6.5319126 ]]",[[6.56360185]],3.765658112022315,93
8733,"[[ 8.84609228 -3.96950748]
 [-4.92576433 -9.12692075]
 [-6.27447328  5.12898481]]",[[ 4.11349031  2.68921484 -0.04230422]],"[[ 4.65524662]
 [-2.5234694 ]
 [-0.691824  ]]",[[-1.39963451]],1.0860593047764655,93
2,"[[-0.13219928  4.23581634]
 [-0.8080365  -1.80154689]
 [ 2.17140146  6.55456828]]",[[-2.04753433  5.1599636   4.02171965]],"[[ 5.71231393]
 [ 0.90598272]
 [-5.97469541]]",[[-9.49552855]],0.7140448187795745,93
2862,"[[ 2.57373295  1.07303774]
 [ 4.120666   -6.97237985]
 [ 9.779317    4.73011205]]",[[-4.29599488  3.29684359 -6.76774785]],"[[-8.58314007]
 [ 6.12118513]
 [-2.12786573]]",[[0.33949605]],1.9549962125385967,93
712,"[[ 5.95092648  4.31946933]
 [-5.36364766 -7.32105364]
 [-4.99733539 -8.95888566]]",[[ 2.14235097  3.1186011  -4.41360851]],"[[ 2.3014777]
 [-3.0977551]
 [-2.3076791]]",[[-8.37722186]],3.9694056502621033,93
1226,"[[-3.47921774 -7.38310178]
 [-4.9730436   7.78732708]
 [ 1.42983633 -1.19715701]]",[[ 2.77025846 -6.72840018  8.6467245 ]],"[[-0.50051201]
 [-5.33234885]
 [-0.12961358]]",[[-3.80166651]],5.022898359276762,92
7660,"[[-5.06369512  3.76457242]
 [-5.55039019 -0.76153162]
 [ 5.65829789  7.19780535]]",[[ 5.5658957  -3.01931711 -7.92674   ]],"[[-6.69850424]
 [ 3.75230558]
 [-9.28056468]]",[[-2.95648687]],4.391167882772056,92
242,"[[-1.74244827  6.16173605]
 [-0.76660913  0.54513193]
 [-0.62378844 -2.73000787]]",[[ 5.01720655 -8.27750068  1.51016892]],"[[-4.54075681]
 [ 4.06424013]
 [-0.56606866]]",[[-5.08805374]],5.610951862318581,92
4596,"[[-2.85248353  7.45812769]
 [-9.29985775 -2.15441904]
 [-3.396084   -6.3027028 ]]",[[0.374798   4.52437677 4.77158911]],"[[ 0.58991749]
 [-9.6726315 ]
 [ 2.59147089]]",[[-1.25133781]],5.067457193918776,92
6513,"[[-0.54391506  5.36483901]
 [ 6.9677746  -1.94163505]
 [ 3.50821819 -8.40127474]]",[[ 8.70497167  7.84237727 -6.2619393 ]],"[[ 8.51691136]
 [-3.53587964]
 [ 8.33087906]]",[[-8.44369109]],2.422109708011566,92
872,"[[-1.3888113  -2.08519583]
 [ 6.79010799  8.56844239]
 [ 8.82282052  4.20163155]]",[[1.90900632 0.61397526 2.72684311]],"[[-1.22819776]
 [-6.19939043]
 [ 4.01522434]]",[[-9.35299032]],1.689167262601664,92
2881,"[[-5.7333661  -2.90065491]
 [ 6.1191272   3.23940421]
 [-5.34481836  0.67339976]]",[[ 5.06925437 -3.02652705 -0.37241961]],"[[ 4.57320695]
 [-9.18262021]
 [ 8.56052565]]",[[-3.23476203]],4.8534624707827465,92
6198,"[[-5.38447019 -7.87694003]
 [-3.55298842 -4.30981769]
 [ 3.12782625  7.88802079]]",[[ 5.12415977 -2.66506685 -9.03655575]],"[[-6.01361664]
 [ 9.31732517]
 [-9.60146172]]",[[-9.14149457]],3.7446248529150905,92
7195,"[[-3.60984427  7.44983853]
 [ 7.35144673 -1.73819409]
 [ 7.9595499   1.60327597]]",[[-3.99255887  4.41840736 -5.18871357]],"[[-8.81996352]
 [-5.83650404]
 [-1.24736577]]",[[2.75858227]],6.778366613495283,92
4659,"[[-6.29327231  7.82346505]
 [ 8.24061226 -9.0140575 ]
 [-9.84241214 -7.35685632]]",[[1.4488608  8.28715773 3.68294713]],"[[-0.75285978]
 [ 7.69266068]
 [ 0.43195581]]",[[-2.48024707]],4.81268189528941,92
4240,"[[ 4.07447825  9.96995024]
 [-2.10111503 -0.55729482]
 [-7.11517673 -8.43586739]]",[[-1.65882846  3.93122296 -1.00270116]],"[[-4.60718983]
 [ 0.23141782]
 [-2.90005204]]",[[-0.54779549]],2.3219525746631184,92
4572,"[[-4.51141523 -7.72440658]
 [ 1.66189102 -3.18551602]
 [-8.70590434 -4.1482184 ]]",[[ 7.77882142  4.82158469 -7.00596094]],"[[-8.72109042]
 [-0.61914074]
 [ 5.0958195 ]]",[[5.72821532]],7.469702487281897,92
8674,"[[-4.62578793 -2.2214697 ]
 [-7.70029523 -1.93658079]
 [-8.13609434 -1.45385786]]",[[ 5.15495096  2.07320631 -2.87895553]],"[[ 3.92493458]
 [-2.06649725]
 [-3.16735528]]",[[-1.52610443]],3.82511264776058,92
5546,"[[ 6.09727318 -5.43179037]
 [-1.48269934 -3.5870069 ]
 [ 4.16863838  3.5332529 ]]",[[-7.03210212 -6.45637964 -4.68807826]],"[[-5.73980789]
 [ 5.79927013]
 [-5.83383221]]",[[5.79946763]],4.8460005460056195,92
9223,"[[-3.11032813 -2.80239514]
 [ 6.81138845 -5.40977678]
 [ 1.2623253   6.4964242 ]]",[[ 8.86471981 -5.05172958  3.92049646]],"[[-4.62714115]
 [ 9.07950884]
 [ 4.83535329]]",[[-8.16821931]],1.8806157492297804,92
816,"[[ 8.24033339  8.48111364]
 [ 0.28225697 -8.76726903]
 [-0.67585926  1.09007998]]",[[-7.75930607  1.39220878  8.73877569]],"[[ 3.46230373]
 [-0.41597507]
 [-1.58638946]]",[[5.98117865]],7.283659495043423,92
6928,"[[ 7.97935657 -3.70313054]
 [ 3.23027624  3.79816877]
 [-1.78245589 -0.67092612]]",[[-1.92829266 -0.61022868  5.62550828]],"[[-4.52186423]
 [ 1.40216303]
 [ 3.13822249]]",[[-0.58672804]],4.116418447896986,92
6179,"[[-2.69192115 -3.90330213]
 [ 5.21301571  0.24544501]
 [ 1.12432872 -9.78634484]]",[[8.45901361 7.14320714 1.43119849]],"[[-9.71583   ]
 [-6.38678859]
 [ 2.07626002]]",[[-2.38084664]],1.6272496592273344,92
9119,"[[ 4.14619432 -8.58988396]
 [ 1.29849023  3.45252707]
 [ 7.03213047  5.2825197 ]]",[[ 3.13805616 -4.93834326  2.51710439]],"[[-1.6593214 ]
 [-2.37138494]
 [-8.34045703]]",[[-5.67053214]],3.840512921346729,92
6778,"[[ 6.59289694  4.58168042]
 [-4.74191032  3.26567759]
 [-4.68172545  8.37172769]]",[[ 1.52326553 -8.11931579 -5.54149977]],"[[-6.1181564 ]
 [-4.16655427]
 [-3.15380068]]",[[2.11146359]],2.931174344862245,92
3843,"[[-5.97342016 -1.51078422]
 [-0.93442789  4.00487866]
 [ 4.72505725  4.11025951]]",[[ 0.66051572 -3.49618686  6.92478729]],"[[ 2.52436735]
 [-9.00274706]
 [ 8.92402363]]",[[-7.12337177]],6.765983933932867,92
2893,"[[-2.16327047 -6.01450989]
 [-6.19732557  3.96742699]
 [-6.01302179 -1.64225007]]",[[-7.96373157  5.52714652  3.89617116]],"[[6.26864344]
 [5.04135668]
 [9.47735732]]",[[-8.97641454]],3.3911879396582933,92
4147,"[[ 5.51240799 -9.51090167]
 [-5.02764863 -0.9402015 ]
 [ 6.91559838 -2.37961799]]",[[ 5.52432392  6.17394198 -4.47152449]],"[[9.12393717]
 [1.23399903]
 [6.5874608 ]]",[[-4.6540401]],2.7135721979680927,92
4729,"[[ 8.63990039 -5.30122234]
 [ 5.11970614 -9.14618823]
 [-1.71327254 -0.08348739]]",[[-2.9827661   4.01049937  3.04971152]],"[[-1.72142669]
 [ 7.91663358]
 [ 9.51098901]]",[[-2.28687474]],3.7379386660061895,92
6752,"[[-2.35974608  1.34218988]
 [ 3.0796852  -0.66272592]
 [ 9.92730369 -2.68995813]]",[[3.2539815  7.84292835 9.1501229 ]],"[[-0.49353151]
 [-4.45927204]
 [-1.31810743]]",[[-7.30237788]],0.046275879615856885,91
8826,"[[ 0.36951383 -8.67795799]
 [ 2.18062126  0.90005639]
 [ 7.65155907  3.54498628]]",[[ 1.50888906 -9.70483387 -9.01002051]],"[[ 6.53697295]
 [-1.29060954]
 [ 6.71785094]]",[[9.99394215]],7.929489923769286,91
3571,"[[ 4.88883767  0.0266676 ]
 [ 2.65122641 -6.73272949]
 [-6.03889059  1.43341453]]",[[-8.83305524  3.99529973 -8.89898542]],"[[-1.77869792]
 [ 3.10635575]
 [ 3.1722064 ]]",[[-3.00625628]],2.01436792647004,91
2683,"[[ 6.81891669 -2.46290856]
 [-4.18938124  8.59381407]
 [ 8.55044647  3.98684818]]",[[ 5.3055734   1.82436426 -0.24071993]],"[[-4.63341053]
 [ 1.22270063]
 [ 8.5785406 ]]",[[0.59146287]],4.588498183918701,91
3017,"[[ 3.96492511  7.73707447]
 [ 4.65828424  2.50795241]
 [-5.90809098 -6.25872301]]",[[ 3.22959467  2.08630938 -0.27917711]],"[[9.13893423]
 [7.77150701]
 [8.74111291]]",[[-4.05130004]],1.1467158443596448,91
9457,"[[ 4.77660948 -6.7986577 ]
 [ 0.40958059  0.36252226]
 [ 7.97814402  7.5504702 ]]",[[-0.382244    8.91591426  4.02084551]],"[[ 2.8299598 ]
 [-0.15676083]
 [-3.22180249]]",[[2.77674314]],1.7130556867421365,91
7004,"[[-5.60547779  0.85226897]
 [ 1.73209802 -1.41014902]
 [ 7.62567535  2.16600826]]",[[-9.21922902  3.226854   -3.58043076]],"[[-1.5954671 ]
 [-4.12094105]
 [-5.09749254]]",[[2.80729537]],1.8867875895229314,91
8619,"[[ 0.95550256 -3.09618203]
 [-8.7080021   1.52118071]
 [ 0.83759602  1.86153539]]",[[-4.75564266  1.41107174 -1.74891675]],"[[-4.76919291]
 [-2.15982047]
 [ 0.97311464]]",[[-0.56258247]],3.2476959157528396,91
5090,"[[-7.33706201 -2.30169345]
 [-8.36039701 -6.09842629]
 [-7.67103869 -2.11750078]]",[[-5.34627881  4.80706665 -1.85721741]],"[[-0.10236456]
 [-3.93618127]
 [ 9.37426114]]",[[-9.98155037]],6.056141118964849,91
3182,"[[ 5.22735885  0.37551889]
 [-8.2442912  -2.12899786]
 [-8.92768921  5.26112114]]",[[-5.0064793   5.86063187 -6.68405672]],"[[-8.47606488]
 [-2.38731328]
 [-9.16542997]]",[[3.87366802]],5.09500589394197,91
8677,"[[-5.95542978  6.04222269]
 [-6.40127085  3.79132847]
 [-4.04786317 -4.36399676]]",[[-9.79077764  4.28440255  6.07229146]],"[[-7.77492101]
 [ 8.77695548]
 [-3.82250066]]",[[6.39066387]],2.997199483991432,91
